id_cnpj,cd_cnae_prin,BASE,Atividade,Setor,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
c137becbf8aeb57d1cb29eafa0506837ae986c18e10ba4ea5c0b83a88f2f3926,4645101,46,Atacado,Comércio,PE,4.481.909.969.747.600,6.774.862.978.218.020,776,########,920,3.242,979,989
b1bb807c40ce30f95cc5259ad2eec9b9b9296e5b65a7fa242619b31bdc49c43a,1052000,10,Fabricação de produtos alimentícios,Indústria,CE,76.887.140.150.662,,220,########,770,13.992,938,989
4733136b86db508a2c0dcdfd849bbdd1452f30d4cb3ca0fff8793b077d6fd573,4781400,47,Varejo,Comércio,MS,7.989.474.865.374.840,,572,165.500,960,0,947,988
982036e318d814e915ae8c0d187cb125a6e8c5fa4b20f5a93f7f2a9daa8ce927,4693100,46,Atacado,Comércio,PB,3.303.657.706.599.890,7.516.913.702.244.380,431,138.000,870,34.612,28,881
d63a468b6d43dee9a4c5aa7f8e9dab9a4b5584b5505a00350713377a02a794f1,2539001,25,Produtos de metal,Indústria,SP,5.266.692.378.531.120,,173,########,390,15.071,74,949
821f1d7a40216f34171d007c54543f43bb5103d0eb09796f284c68aa0d6a31de,1314600,13,Produtos têxteis,Indústria,SC,8.630.369.099.042.630,9.723.485.370.688.630,894,########,820,13.674,979,988
a5034ebfc4262f9d24edb33f16dd24272a11334d51d2cea142cfba900627211c,4781400,47,Varejo,Comércio,BA,9.711.599.775.009.010,,877,########,980,16.569,970,988
8368e7aa6c35068d714a8059853b56aefe7eaacbedce3f613eb7768b34b087db,2222600,22,Borracha e plástico,Indústria,,8.923.090.378.906.820,29.016.389.432.939.600,777,########,870,23.912,979,988
998d9d40c035e2068d6ef95f1837f679eb28748d66dc182b1112cf4cb2c190fc,4646001,46,Atacado,Comércio,PB,983.372.210.300.423,,915,166.000,960,0,969,989
30fc6c6e578465afbdd8adc42d936364e35a287a3b173f91f49509aa949c513f,1066000,10,Fabricação de produtos alimentícios,Indústria,SP,19.270.524.826.194.800,1.000,331,########,500,6.222,277,862
4d0dafaca69a980bd3c4aec69f062c49e85851f911d14b2753978708e6f09b4e,4771701,47,Varejo,Comércio,PR,9.324.204.105.410.600,7.523.809.523.809.520,951,########,980,395,983,989
e06c13943cc36094d2b5ac273125a1d59818716a9382b8388844fdf64ce46f95,1099699,10,Fabricação de produtos alimentícios,Indústria,GO,8.967.506.015.635.440,924.533.200.535.846,947,########,950,13.687,983,989
50628476227a0a824a15034de553ab56706a7cd284b5655de7a4532357fab7dd,4712100,47,Varejo,Comércio,SP,9.032.955.006.460.090,5.533.764.984.884.420,886,########,960,6.289,979,989
2e8d17ae93017dead49a92c84433f2377882df47cd695e6b9f34d355151553ea,6437900,64,Financeiros,Serviços,,8.893.543.851.824.850,6.174.962.535.281.400,861,226.050,910,0,969,984
e4b59bae80cf013d940f521580e077574a5d9aa8ff61d02f0a355a4f67cc776f,1011201,10,Fabricação de produtos alimentícios,Indústria,PA,8.670.010.477.201.940,7.127.591.026.968.000,936,########,930,4.556,979,987
cedef8508b41742d1d9e637417dfdd164d0e01003ef248aabdcf01fdadfa5f6e,4781400,47,Varejo,Comércio,SC,9.771.618.790.967.870,7.713.725.110.621.350,959,58.000,980,15.315,973,988
21dff853e547f2780248a1d3dcdd625e4f8f47f49474ad4abb11517688241479,4771701,47,Varejo,Comércio,PR,9.482.491.104.828.320,,942,########,920,668,981,987
b0bf5b333f0638a2fa60313a27cb544a408d783cdd28ada82ff2d95557e1c773,4771701,47,Varejo,Comércio,PR,9.917.979.227.363.030,,951,########,990,1.729,983,988
043b826aad24628fde2e145a11ae9bee12155e75b8d3b58ddbc0c3343a2a150d,4511101,45,Veículos,Comércio,SP,7.474.290.644.131.370,9.981.322.368.899.140,948,########,910,315,981,985
93bba616aec5c3b15191607c231c2893341bb7b9b6252f33b56ee694ba8909c1,4761003,47,Varejo,Comércio,RS,9.979.200.259.486.070,1.000,959,########,940,12.413,965,989
58ad479c00361c94b1120d8544cfed5218ca98f2fb5acc52b8a78cdcc2bf1e0b,4782201,47,Varejo,Comércio,SP,14.474.446.084.581.800,,133,########,750,30.243,73,877
4d1e0e6bed46a63ac17c97ef153512dddf1b601475604524eab9a2cc5b581a91,1095300,10,Fabricação de produtos alimentícios,Indústria,RJ,9.357.594.434.160.060,8.690.092.480.372.660,857,########,910,7.693,964,989
7c490978d75d9f3cd1ef4c3837d918a2e6d08d831feefa5a5d06748c735f4e8d,4713002,47,Varejo,Comércio,,9.380.040.597.248.910,,843,48.000,930,0,844,974
63e670ef5ec4071adcd6df2979de0214e12f2fcb6f085977f682918ace704f39,1313800,13,Produtos têxteis,Indústria,PR,785.093.166.180.128,6.591.664.929.008.300,770,########,880,1.536,948,982
e3c8b56d8a83a41614fcd8b653051b4af28ad27b21fc626ff228c99815d94e72,4930202,49,Transporte terrestre,Transporte e Logística,RJ,5.503.332.343.358.830,26.509.009.529.607.200,169,########,590,2.138,51,913
c479853786b1c4a3324d1a682b7311662c4e0a7e55886bf662ca1fcdeb574614,2610800,26,Eletrônicos e informática,Indústria,SP,8.930.731.240.515.380,7.751.469.172.449.350,788,########,720,0,973,989
333801b4183b8a249cf62ff3d8d2d6ff159c0f97151cb4df0b538930355cfc4f,4771701,47,Varejo,Comércio,PR,9.608.815.099.081.920,,929,########,970,10.038,979,989
b64a76c903c4669411ba7fc2e66a29f47b76cb0741254d070e82448664c3e848,2222600,22,Borracha e plástico,Indústria,SC,48.907.971.154.663.000,9.781.942.683.255.720,787,########,910,68.132,957,945
10c1e2787c1bbaa72cc3e778911fd42074c679a1cd846fa98295816747309362,4744099,47,Varejo,Comércio,MT,7.412.722.535.355.570,,952,########,970,55.231,982,989
addbd3486c121294553296d0842316df9b35d8376083badd33e13c9bcdc4ab16,4632001,46,Atacado,Comércio,SP,22.275.703.678.348.700,7.638.487.299.458.710,728,74.775,900,2.623,230,930
2bd209b581c1c82f456ea10d292dac692edad2e6d632b643191c310d38ed09c1,2949299,29,Veículos automotores,Indústria,SC,7.399.036.707.176.010,9.515.152.109.947.310,353,########,750,4.838,925,988
486fde6fa2d6f06d016daeff89e2f22dc2bfd5aa889c536a334cf0fb4fc02b33,2342701,23,Minerais não metálicos,Indústria,SP,9.940.814.247.356.130,9.417.591.785.298.140,952,221.700,970,5.924,980,988
e9ef22a806d9f413a6079220141770df48ab95686eff358e3536a97cdfddccaf,4771701,47,Varejo,Comércio,PR,9.812.097.732.190.810,,953,########,990,0,984,988
557f79c72b683776da4fc0e89237287df0cc680d92fb63cb717265a9c749a62d,4771701,47,Varejo,Comércio,PR,6.545.833.085.362.310,,517,94.960,900,10.514,217,972
8e012ecaf6af63693df0f5ec577307b0b7925f7d5f0f151da3fcb9ee8edef915,4644301,46,Atacado,Comércio,BA,7.961.311.264.514.800,,847,########,960,16.094,983,987
29717095c354fdcdf4a0ad1df8cc7bc37085904fa1660f1ea94eef775d75861e,1412603,14,Vestuário,Indústria,SP,8.697.007.880.376.020,,881,########,930,16.507,971,988
e75b3585eacfbf6bb7b42504a6e91a875c2f7eec1a1ba35a7778167e738670c7,4781400,47,Varejo,Comércio,BA,939.367.447.122.053,,931,287.000,970,0,973,988
4f9570c991d16d0fe0dceab00ec86008f0d096249ef0790658464c0e69bc4931,4781400,47,Varejo,Comércio,SP,9.841.293.439.083.790,,963,########,960,0,984,988
190fa3e7593a8f23241d95bdf430787ec0537c74fd8768d151977e433eba13cd,5510801,55,Alojamento,Serviços,CE,5.200.421.091.477.550,50,939,########,930,1.557,974,989
68e2b7ecc0b7a98bf05c12fee5e916923c20f6c777036f289eccfe3cd1c79e12,2532201,25,Produtos de metal,Indústria,SP,7.535.524.608.854.630,,771,########,880,5.861,964,982
33af30d761e617e28b4e23326de4c0075d0a6a25ca4e1be8eaf2a676c1d0e891,4644301,46,Atacado,Comércio,SC,9.705.878.012.943.720,,960,########,970,7.443,978,989
f6af555951fa77d30a487197f28fe725b6a10744dc8213cf3e35829e4e5a9a0d,3101200,31,Móveis,Indústria,RS,9.662.592.260.656.200,9.105.266.213.641.700,952,########,950,86,978,988
2a2c613f90f59f3217b6946f41859700e21456a5a262a077fbac353925835673,4711302,47,Varejo,Comércio,SP,9.447.680.762.431.450,,960,########,960,2.644,982,989
6a828128ca0ea66d6328b35915f9738d035a69a4dd30b6d24b2348c0e85aa39a,4639701,46,Atacado,Comércio,SP,9.887.172.655.918.900,8.306.274.942.350.930,957,242.580,980,3.169,981,988
104182a6e6d86059ff7bba89dfaa335dc703f0e1c9024547147050bc10524a1a,133402,13,Produtos têxteis,Indústria,MG,7.582.821.144.820.610,9.583.465.072.545.890,943,########,920,13.356,980,989
f8a279c66b7da36f95ec86e317cb70e2fab726ffb5aef130490929e1dbce9ca3,2452100,24,Metalurgia,Indústria,MG,9.856.590.670.042.710,,927,########,920,147,978,989
eec76c58ec07dd38491fbbf01d36aa6db1053d4cf5ef3091e00afe96734285b2,5611201,56,Alimentação,Serviços,GO,,1.000,715,0,,0,793,883
7a5fc3cf694714f445cbcc1ddb05e80d8a725fb47617ae88b25b07a151912810,1013901,10,Fabricação de produtos alimentícios,Indústria,RS,1.000,,932,0,920,0,961,986
79ce7d9ae5e88d9a08b06d2bd67321957a87753fe9c65ee6654a20cb89e8bb06,4322302,43,Serviços especializados,Construção,MG,9.630.350.658.848.260,7.538.296.305.760.790,927,183.200,930,13.568,973,987
3e723111b549daf6c7e36fa0fca8efc9489aa87f0a617c4a5689adc0d311805c,4781400,47,Varejo,Comércio,RS,1.000,6.930.681.595.698.170,948,########,920,0,975,987
704c7507832f5e06adc59a3344447d5fa631c6a409a7bf4bbd82b59752bebc84,2733300,27,Materiais elétricos,Indústria,SP,9.781.397.826.134.200,4.710.682.186.321.070,954,########,960,0,978,988
c2257be1ce082ccd5a0427fc513c152679ecb44d81e15841c97f596bd8c6f5f1,4530703,45,Veículos,Comércio,RS,9.675.096.899.714.720,1.000,957,180.250,950,0,932,987
acd503359d282251d48305117cbf44a62f5495903e5fbbdcea9e79ba632b7a36,4684201,46,Atacado,Comércio,RS,9.857.950.613.205.190,1.000,944,127.600,930,0,972,989
607ab5538defa95f6b208c36f98659fe79a5553abb99e96b0f63ec17b624823f,4771701,47,Varejo,Comércio,PR,5.081.230.771.124.700,,366,########,800,10.108,179,869
17263a13c8abd16d9935d03b2c7173fc87c319b91dda4e1da15b4b3f074b664b,4781400,47,Varejo,Comércio,SP,43.413.354.471.089.600,7.126.256.390.439.750,141,########,580,51.538,100,970
5e948f2d80d0997d8c710c9ae8c971cae0be09b9be09bc68439bc83957068a56,4771701,47,Varejo,Comércio,PR,8.050.247.108.907.480,,869,########,970,0,974,987
b4478794908248e365a0465f941ab2c0f0785ee26e501f77b66f3c0bc4fd8fb3,4757100,47,Varejo,Comércio,SP,8.736.821.691.548.800,9.923.080.624.340.640,830,85.000,780,0,891,987
d41642384f9d4361d392f244fb1ee4c00c0921435133a631b9fad5ebdc1f080e,4639701,46,Atacado,Comércio,PE,45.452.746.729.308.800,9.243.815.435.573.130,841,########,840,97.789,959,989
162568312fead3ba1cb2baf78a8645dd97b30df1b15df46831677cadb93c4bf5,4646001,46,Atacado,Comércio,SP,4.442.359.650.733.030,8.527.427.143.901.450,373,120.480,750,18.753,523,978
a0b31f39dfd0e252638e489da35392783c90e511fd43d26ca0975d57f33c6520,4781400,47,Varejo,Comércio,PA,9.664.600.992.059.290,,806,0,910,0,974,988
edf4e7d72a0d738ae25acc9fc39954863501132773e71a86bb6e314d097fda78,2229399,22,Borracha e plástico,Indústria,SP,9.466.864.507.688.960,8.556.625.308.806.700,918,########,960,3.378,971,989
ab8c91aa12796f9aed71a5f47c2b8fd4f73b60df0475a9b5eb740e1adf3ffbe1,4722901,47,Varejo,Comércio,MG,906.945.741.630.655,,889,73.625,870,19.685,858,988
4dcd39ebd82cdb3a50ef915a1466e5ffe1ba9ae2b26069368e7395b0e1f25f3e,2733300,27,Materiais elétricos,Indústria,SP,9.860.019.484.432.650,8.533.894.598.110.980,948,191.000,950,6.988,982,988
d8fd8cf9a03d16b92a642595fa09d93ee9df529784916fb34e0ab69f4f7ad62c,4761003,47,Varejo,Comércio,MG,9.781.391.673.948.200,,919,10.000,970,1.000,963,988
9aca2a46dc61685e219acb7cdf8a325ccf2a2212f83ee76f102621b17d63eb60,4771701,47,Varejo,Comércio,PR,9.573.023.229.587.630,9.041.592.554.320.510,937,2.343.125,980,14.298,963,989
19e4d26a4a0aca729c7890b1976d0a76aafa1a045ffcddf8423245cf9d885255,4757100,47,Varejo,Comércio,,9.957.805.340.607.260,7.541.195.314.592.030,914,0,960,0,962,988
f7ec3c9356435ae0cc42c2f6e974319ca7da11bdf5c8d37d914df5633a24e6b5,4781400,47,Varejo,Comércio,MT,9.155.965.518.761.850,3.609.414.162.519.830,923,233.250,920,0,963,988
d8662ee62c42890267a3edb255907f8431148a5758e75bffc69d62eb0c6eb680,4691500,46,Atacado,Comércio,RJ,946.183.999.782.185,693.718.802.875.085,948,########,960,10.183,970,988
44c8e599b7eceb65f33c97510523de694717d0d7cfb80b249a7f5815bfe67be0,4711302,47,Varejo,Comércio,,9.851.206.315.974.700,1.000,963,########,970,0,979,988
